post_id,title,score,num_comments,author,collected_at,category
49811065,Transit rewards,129,130,raybb,2026-09-23 14:20:43.453338,World News
49801324,OpenAI GPT–6 Astra breaks Enigma message that has resisted solution since 2005,653,386,sohkamyung,2026-09-23 14:20:44.127693,Technology
49811429,Data-only attacks are easier than you think (2024),48,14,segfaultbuserr,2026-09-23 14:20:44.793672,Technology
49805278,'We hacked the FBI:' Hackers say they have data on all FBI employees,591,419,spenvo,2026-09-23 14:20:45.450552,Technology
49800513,Show HN: Npunlock – Run custom C kernels for Intel NPUs,18,3,hsfzxjy,2026-09-23 14:20:46.197743,Entertainment
49806430,Pentagon says overreliance on AI contributed to missile strike on Iran school,629,318,devonnull,2026-09-23 14:20:53.893170,Technology
49812023,How often do you think about the 1893 World's Fair?,8,1,bryanrasmussen,2026-09-23 14:20:55.771660,Technology
49800574,"Show HN: JevBench, a reproducible benchmark for typed decision models",102,25,florianstandhar,2026-09-23 14:20:59.746316,Entertainment
49802161,OpenAI is well positioned to fast-follow Jev,292,208,JohnBerryman,2026-09-23 14:21:00.368418,Technology
49794844,"Delta: Highly available, strongly consistent storage using chain replication (2022)",25,1,grep_it,2026-09-23 14:21:01.658607,Technology
49800566,Show HN: Training a model to identify AI web content from structure alone,59,14,jochenmadler,2026-09-23 14:21:06.477726,Technology
49795260,Did OpenAI solve the wrong Navier-Stokes problem?,107,57,tomjakubowski,2026-09-23 14:21:07.909334,Technology
49801329,Show HN: Drop – A rootless Linux sandbox with gVisor support,170,57,mixedbit,2026-09-23 14:21:09.241735,Entertainment
49803085,Writing Rust code that's fast by asking agents to make the code faster,99,50,mooreds,2026-09-23 14:21:11.462643,Technology
49794193,Solitaire Alone Together,140,29,eieio,2026-09-23 14:21:12.824046,Technology
49808109,The UV index is not the warm sensation of sunlight on bare skin,78,68,evakhoury,2026-09-23 14:21:13.488033,World News
49803683,"Show HN: AI·rete·RAG – a Rete rule engine decides, RAG explains why",37,3,ZaharaHussain,2026-09-23 14:21:19.688672,Technology
49811802,Irish data protection watchdog fines Google €403M over GDPR breaches,12,0,1vuio0pswjnm7,2026-09-23 14:21:23.445459,Technology
49797982,I said no and Apple said yes,823,668,thatslast,2026-09-23 14:21:26.049066,Technology
49780175,What It's Like to Work in One of America's Data Centers,73,68,JumpCrisscross,2026-09-23 14:21:27.334225,Technology
49792342,Transformers Explained Visually,611,88,aray07,2026-09-23 14:21:28.829629,Technology
49802789,Show HN: InstinctFlash – High-Performance Serving Runtime for Robotics Models,24,3,guanming0717,2026-09-23 14:21:31.555511,Entertainment
49811734,Helium balloon lifts up to two tons of building material over Tibet's mountains,9,0,ksec,2026-09-23 14:21:32.850766,Technology
49794736,Looking forward to Git 2.56 – and 3.0,192,112,chmaynard,2026-09-23 14:21:35.455886,World News
49788220,A study of sequence weighting at scale,12,1,pranitha_m,2026-09-23 14:21:36.116907,Science
49809806,"The new CC, an AI agent built for families",45,55,grigy,2026-09-23 14:21:39.657871,Technology
49810083,"I'm sick of Claudisms, & what will happen next in AI-boosted software dev",8,4,rizsyed1,2026-09-23 14:21:40.286388,Technology
49747070,How to Write with an LLM,756,410,joeriddles,2026-09-23 14:21:40.984611,Technology
49777121,Video games inspire great UX (2019),41,3,andsoitis,2026-09-23 14:21:43.623986,Sports
49792067,"AI coding has made CI a bottleneck, so we reworked ours to keep up",311,388,julian_digital,2026-09-23 14:21:44.900217,Technology
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,276,75,volotat,2026-09-23 14:21:47.085145,Technology
49811556,Big Banks Say They're Uneasy About People Shopping via AI Agents,9,2,thm,2026-09-23 14:21:50.260878,Technology
49775104,The LLMentalist Effect (2023),230,307,jalev,2026-09-23 14:21:50.902411,Technology
49802776,"Show HN: OpenMCP – An open, code-first fork of the Model Context Protocol",8,1,enclawed,2026-09-23 14:21:51.537184,Technology
49791378,Why does mathmain need an encrypted loader?,135,40,abhisek,2026-09-23 14:21:54.396594,Technology
49764791,AI-generated posters don’t have to be horrible,1877,951,ereiamjh,2026-09-23 14:21:56.357929,Technology
49804217,Show HN: graf (1000x faster graphify in Rust),10,3,ripped_britches,2026-09-23 14:21:59.827666,Entertainment
49809345,U.S. Government seizes 54-pound Martian meteorite sold at auction last year,19,8,bookofjoe,2026-09-23 14:22:01.255710,World News
49772961,Spain orders blocks on Archive.today and its mirrors,548,431,latein,2026-09-23 14:22:01.977284,Technology
49804831,German court rules Meta liable for scam ads on Facebook and Instagram,49,8,buzer,2026-09-23 14:22:06.095549,Entertainment
49809670,Anyone using a Wispr Flow alternative that is non-cloud?,14,13,itsjeremiahs,2026-09-23 14:22:06.743312,Technology
49787142,Python Workers are now generally available,266,42,torutofu,2026-09-23 14:22:07.359663,Technology
49791939,NASA’s Mars Sample Return mission is dead,447,383,Muhammad523,2026-09-23 14:22:08.002268,Science
49797139,Apple Music to open concert venue in Battersea Power Station,66,97,dabinat,2026-09-23 14:22:09.348280,Entertainment
49791647,Frontier AI on Your Own Hardware,179,102,pretext,2026-09-23 14:22:10.069094,World News
49778022,Resident Evil 4 (GameCube) – complete byte-identical decompilation to C/C++,137,99,metrofun,2026-09-23 14:22:12.771250,Sports
49775082,The Millennium Problems for Biology,162,119,artninja1988,2026-09-23 14:22:15.492647,Science
49776523,Show HN: A competition for small neural networks that play strategy games,111,40,codetiger,2026-09-23 14:22:18.222899,Sports
49789356,Show HN: Foremerge – Catch intent conflicts between parallel coding agents,45,17,naw103,2026-09-23 14:22:22.969006,Sports
49786419,Show HN: Lossless-memory – a personal AI memory that never summarizes,66,29,aru-labs,2026-09-23 14:22:30.167898,Entertainment
49777539,Show HN: Radius – A Meetup.com Alternative,163,81,radius89,2026-09-23 14:22:33.618966,Entertainment
49798800,How software gets permission today,9,0,infomiho,2026-09-23 14:22:42.572768,World News
49781693,Why Backprop Goes Backward (2018),69,10,andsoitis,2026-09-23 14:22:50.106047,World News
49778670,Software sandboxing: The basics (2025),115,24,mococa,2026-09-23 14:22:53.702885,World News
49755378,A custom virtual machine for the Stars 4X game,109,38,ibobev,2026-09-23 14:23:00.958517,Sports
49802005,Show HN: Hack – my Hacker News mobile client now lets you block AI posts,7,3,busymom0,2026-09-23 14:23:01.680977,Entertainment
49803684,Study Sessions Should Be Short and Frequent as Opposed to Long and Sparse,18,2,gmays,2026-09-23 14:23:03.109855,Science
49786210,The End Of Upward Mobility – AI is coming for the meritocracy,63,44,meep_meep_meep,2026-09-23 14:23:05.730773,World News
49799083,"9 Ads per Minute: FIFA Cup 26 – ""the price of the beautiful game""",175,214,KellyCriterion,2026-09-23 14:23:06.486098,Sports
49789066,"Show HN: Vellum, the best diagram editor you'll ever use",23,15,JoshJamesAnthon,2026-09-23 14:23:11.600532,Entertainment
49765354,Show HN: Sigabrt.dev – cronjob monitor with an SSH TUI,81,35,4815162342,2026-09-23 14:23:17.019276,Entertainment
49746626,How SpaceX streamlined the Raptor engine,246,125,JumpCrisscross,2026-09-23 14:23:21.042055,Science
49780849,Show HN: jevals – replacing LLM judges with typed Jev decisions,46,6,gbayomi,2026-09-23 14:23:21.690798,Entertainment
49766966,Brood War Bench,345,156,benswerd,2026-09-23 14:23:24.512724,World News
49799267,Show HN: Watch all the AI agents on your machine,6,4,turblety,2026-09-23 14:23:25.228567,Entertainment
49777913,Trying the software factory pattern,89,47,gpi,2026-09-23 14:23:26.661166,World News
49806376,Explaining to business people why building software is still hard,59,57,fagnerbrack,2026-09-23 14:23:41.957597,World News
49767564,Show HN: CUA-S1 – A System One Model for Computer Use,93,10,frabonacci,2026-09-23 14:23:45.603180,Entertainment
49784336,Disney+: New user agreement allows ads before movies in all subscriptions,505,366,DeepLogin,2026-09-23 14:23:53.963985,Entertainment
49740105,"Show HN: Share your AI Setup, Learn from others",250,139,steveybrown,2026-09-23 14:24:00.074176,Entertainment
49791978,Microsoft patents system to freeze games and inject ads during downtimes,43,18,ricobecks,2026-09-23 14:24:02.911715,Sports
49781727,Show HN: Gdocs-me-up: a high-fidelity Google Docs exporter,20,8,behdad,2026-09-23 14:24:05.768708,Entertainment
49749724,Warez: The Infrastructure and Aesthetics of Piracy (2021),220,120,succinct_ideas,2026-09-23 14:24:11.821075,World News
49797105,The secret Cold War bioweapons test that exposed millions in the Bay Area,21,4,bcaulfield,2026-09-23 14:24:12.540306,World News
49748553,Show HN: Cactus Needle 3: 8-29MB automation models can match DeepSeek V4 Flash,236,92,HenryNdubuaku,2026-09-23 14:24:17.144233,Entertainment
49798451,"Study: Young users (9 to 18Y) ditch Google for AI, with unknown consequences",65,118,giuliomagnifico,2026-09-23 14:24:17.781183,Science
49746346,"Show HN: Snapdrop: Instantly share files between devices. No setup, no signup",111,51,Capira,2026-09-23 14:24:21.856269,Entertainment
49763379,NASA-IBM Lunar Foundation open-Source Geospatial AI Model,53,6,noobplus,2026-09-23 14:24:28.550047,Science
49802792,Newborn girls and boys show different attention patterns within hours of birth,15,7,theanonymousone,2026-09-23 14:24:29.229233,Entertainment
49752614,"Warren Buffett Steps Down as Berkshire Chairman, Names Son to Replace Him",323,219,saimiam,2026-09-23 14:24:37.524016,World News
49748041,"Show HN: Scry, programmable internet search w/ congestion pricing",60,26,Xyra,2026-09-23 14:24:46.544077,Entertainment
49781032,"Show HN: Lightspeed, build real time apps the Laravel way (+asteroids demo)",17,5,jv22222,2026-09-23 14:24:58.209605,Entertainment
49762687,Science Is Open Software,161,74,jegp,2026-09-23 14:25:00.493682,World News
49807794,Kremlin-backed forgery scheme moved $6.9B through global banks,9,1,tagyro,2026-09-23 14:25:02.398664,World News
49810029,Trump administration attacks Australia optout algorithm law in rare intervention,5,2,jyhrow,2026-09-23 14:25:24.629709,World News
49782439,Show HN: Ambits – agentic grep/rg tool will history tracking,5,1,joshLong145,2026-09-23 14:25:26.838540,Entertainment
