post_id,title,score,num_comments,author,collected_at,category,engagement,is_popular
49811065,Transit rewards,129,130,raybb,2026-09-23 14:20:43.453338,World News,1.0,False
49801324,OpenAI GPT–6 Astra breaks Enigma message that has resisted solution since 2005,653,386,sohkamyung,2026-09-23 14:20:44.127693,Technology,0.5902140672782875,True
49811429,Data-only attacks are easier than you think (2024),48,14,segfaultbuserr,2026-09-23 14:20:44.793672,Technology,0.2857142857142857,False
49805278,'We hacked the FBI:' Hackers say they have data on all FBI employees,591,419,spenvo,2026-09-23 14:20:45.450552,Technology,0.7077702702702703,True
49800513,Show HN: Npunlock – Run custom C kernels for Intel NPUs,18,3,hsfzxjy,2026-09-23 14:20:46.197743,Entertainment,0.15789473684210525,False
49806430,Pentagon says overreliance on AI contributed to missile strike on Iran school,629,318,devonnull,2026-09-23 14:20:53.893170,Technology,0.5047619047619047,True
49812023,How often do you think about the 1893 World's Fair?,8,1,bryanrasmussen,2026-09-23 14:20:55.771660,Technology,0.1111111111111111,False
49800574,"Show HN: JevBench, a reproducible benchmark for typed decision models",102,25,florianstandhar,2026-09-23 14:20:59.746316,Entertainment,0.24271844660194175,False
49802161,OpenAI is well positioned to fast-follow Jev,292,208,JohnBerryman,2026-09-23 14:21:00.368418,Technology,0.7098976109215017,True
49794844,"Delta: Highly available, strongly consistent storage using chain replication (2022)",25,1,grep_it,2026-09-23 14:21:01.658607,Technology,0.038461538461538464,False
49800566,Show HN: Training a model to identify AI web content from structure alone,59,14,jochenmadler,2026-09-23 14:21:06.477726,Technology,0.23333333333333334,False
49795260,Did OpenAI solve the wrong Navier-Stokes problem?,107,57,tomjakubowski,2026-09-23 14:21:07.909334,Technology,0.5277777777777778,False
49801329,Show HN: Drop – A rootless Linux sandbox with gVisor support,170,57,mixedbit,2026-09-23 14:21:09.241735,Entertainment,0.3333333333333333,True
49803085,Writing Rust code that's fast by asking agents to make the code faster,99,50,mooreds,2026-09-23 14:21:11.462643,Technology,0.5,False
49794193,Solitaire Alone Together,140,29,eieio,2026-09-23 14:21:12.824046,Technology,0.20567375886524822,False
49808109,The UV index is not the warm sensation of sunlight on bare skin,78,68,evakhoury,2026-09-23 14:21:13.488033,World News,0.8607594936708861,False
49803683,"Show HN: AI·rete·RAG – a Rete rule engine decides, RAG explains why",37,3,ZaharaHussain,2026-09-23 14:21:19.688672,Technology,0.07894736842105263,False
49811802,Irish data protection watchdog fines Google €403M over GDPR breaches,12,0,1vuio0pswjnm7,2026-09-23 14:21:23.445459,Technology,0.0,False
49797982,I said no and Apple said yes,823,668,thatslast,2026-09-23 14:21:26.049066,Technology,0.8106796116504854,True
49780175,What It's Like to Work in One of America's Data Centers,73,68,JumpCrisscross,2026-09-23 14:21:27.334225,Technology,0.918918918918919,False
49792342,Transformers Explained Visually,611,88,aray07,2026-09-23 14:21:28.829629,Technology,0.1437908496732026,True
49802789,Show HN: InstinctFlash – High-Performance Serving Runtime for Robotics Models,24,3,guanming0717,2026-09-23 14:21:31.555511,Entertainment,0.12,False
49811734,Helium balloon lifts up to two tons of building material over Tibet's mountains,9,0,ksec,2026-09-23 14:21:32.850766,Technology,0.0,False
49794736,Looking forward to Git 2.56 – and 3.0,192,112,chmaynard,2026-09-23 14:21:35.455886,World News,0.5803108808290155,True
49788220,A study of sequence weighting at scale,12,1,pranitha_m,2026-09-23 14:21:36.116907,Science,0.07692307692307693,False
49809806,"The new CC, an AI agent built for families",45,55,grigy,2026-09-23 14:21:39.657871,Technology,1.1956521739130435,False
49810083,"I'm sick of Claudisms, & what will happen next in AI-boosted software dev",8,4,rizsyed1,2026-09-23 14:21:40.286388,Technology,0.4444444444444444,False
49747070,How to Write with an LLM,756,410,joeriddles,2026-09-23 14:21:40.984611,Technology,0.5416116248348745,True
49777121,Video games inspire great UX (2019),41,3,andsoitis,2026-09-23 14:21:43.623986,Sports,0.07142857142857142,False
49792067,"AI coding has made CI a bottleneck, so we reworked ours to keep up",311,388,julian_digital,2026-09-23 14:21:44.900217,Technology,1.2435897435897436,True
49783133,Show HN: Mini-AGI – Dynamic continual learning model trained on 8GB VRAM,276,75,volotat,2026-09-23 14:21:47.085145,Technology,0.27075812274368233,True
49811556,Big Banks Say They're Uneasy About People Shopping via AI Agents,9,2,thm,2026-09-23 14:21:50.260878,Technology,0.2,False
49775104,The LLMentalist Effect (2023),230,307,jalev,2026-09-23 14:21:50.902411,Technology,1.329004329004329,True
49802776,"Show HN: OpenMCP – An open, code-first fork of the Model Context Protocol",8,1,enclawed,2026-09-23 14:21:51.537184,Technology,0.1111111111111111,False
